role,location,averageMarketSalary
Data Engineer,Bengaluru,82000
Data Engineer,Hyderabad,80000
Data Engineer,Pune,78000
Data Engineer,Chennai,77000
Data Engineer,Gurgaon (Gurugram),81000
Data Engineer,Noida,79000
Data Engineer,Mumbai,83000
Data Engineer,Kolkata,76000
Data Engineer,Ahmedabad,77000
Data Engineer,Coimbatore,75000
Data Engineer,Trivandrum (Thiruvananthapuram),78000
Data Engineer,Jaipur,74000
Data Engineer,Chandigarh,75000
Data Engineer,Indore,76000
Data Engineer,Kochi (Cochin),73000
Data Engineer,Bhubaneswar,72000
Data Engineer,Mysore,71000
Data Engineer,Visakhapatnam,70000
Data Engineer,Nagpur,69000
Data Engineer,Lucknow,68000
