role,location,averageMarketSalary
Database Administrator (DBA),Bengaluru,74000
Database Administrator (DBA),Hyderabad,72000
Database Administrator (DBA),Pune,70000
Database Administrator (DBA),Chennai,69000
Database Administrator (DBA),Gurgaon (Gurugram),73000
Database Administrator (DBA),Noida,71000
Database Administrator (DBA),Mumbai,75000
Database Administrator (DBA),Kolkata,68000
Database Administrator (DBA),Ahmedabad,69000
Database Administrator (DBA),Coimbatore,67000
Database Administrator (DBA),Trivandrum (Thiruvananthapuram),70000
Database Administrator (DBA),Jaipur,66000
Database Administrator (DBA),Chandigarh,67000
Database Administrator (DBA),Indore,68000
Database Administrator (DBA),Kochi (Cochin),65000
Database Administrator (DBA),Bhubaneswar,64000
Database Administrator (DBA),Mysore,63000
Database Administrator (DBA),Visakhapatnam,62000
Database Administrator (DBA),Nagpur,61000
Database Administrator (DBA),Lucknow,60000
