role,location,averageMarketSalary
Embedded Systems Engineer,Bengaluru,80000
Embedded Systems Engineer,Hyderabad,78000
Embedded Systems Engineer,Pune,76000
Embedded Systems Engineer,Chennai,75000
Embedded Systems Engineer,Gurgaon (Gurugram),79000
Embedded Systems Engineer,Noida,77000
Embedded Systems Engineer,Mumbai,81000
Embedded Systems Engineer,Kolkata,74000
Embedded Systems Engineer,Ahmedabad,75000
Embedded Systems Engineer,Coimbatore,73000
Embedded Systems Engineer,Trivandrum (Thiruvananthapuram),76000
Embedded Systems Engineer,Jaipur,72000
Embedded Systems Engineer,Chandigarh,73000
Embedded Systems Engineer,Indore,74000
Embedded Systems Engineer,Kochi (Cochin),71000
Embedded Systems Engineer,Bhubaneswar,70000
Embedded Systems Engineer,Mysore,69000
Embedded Systems Engineer,Visakhapatnam,68000
Embedded Systems Engineer,Nagpur,67000
Embedded Systems Engineer,Lucknow,66000
