role,location,averageMarketSalary
Front-End Developer,Bengaluru,70000
Front-End Developer,Hyderabad,68000
Front-End Developer,Pune,67000
Front-End Developer,Chennai,66000
Front-End Developer,Gurgaon (Gurugram),69000
Front-End Developer,Noida,68000
Front-End Developer,Mumbai,72000
Front-End Developer,Kolkata,65000
Front-End Developer,Ahmedabad,66000
Front-End Developer,Coimbatore,64000
Front-End Developer,Trivandrum (Thiruvananthapuram),67000
Front-End Developer,Jaipur,63000
Front-End Developer,Chandigarh,64000
Front-End Developer,Indore,65000
Front-End Developer,Kochi (Cochin),62000
Front-End Developer,Bhubaneswar,61000
Front-End Developer,Mysore,60000
Front-End Developer,Visakhapatnam,59000
Front-End Developer,Nagpur,58000
Front-End Developer,Lucknow,57000
