role,location,averageMarketSalary
Full-Stack Developer,Bengaluru,77000
Full-Stack Developer,Hyderabad,75000
Full-Stack Developer,Pune,73000
Full-Stack Developer,Chennai,72000
Full-Stack Developer,Gurgaon (Gurugram),76000
Full-Stack Developer,Noida,74000
Full-Stack Developer,Mumbai,78000
Full-Stack Developer,Kolkata,71000
Full-Stack Developer,Ahmedabad,72000
Full-Stack Developer,Coimbatore,70000
Full-Stack Developer,Trivandrum (Thiruvananthapuram),73000
Full-Stack Developer,Jaipur,69000
Full-Stack Developer,Chandigarh,70000
Full-Stack Developer,Indore,71000
Full-Stack Developer,Kochi (Cochin),68000
Full-Stack Developer,Bhubaneswar,67000
Full-Stack Developer,Mysore,66000
Full-Stack Developer,Visakhapatnam,65000
Full-Stack Developer,Nagpur,64000
Full-Stack Developer,Lucknow,63000
