role,location,averageMarketSalary
Game Developer,Bengaluru,76000
Game Developer,Hyderabad,74000
Game Developer,Pune,72000
Game Developer,Chennai,71000
Game Developer,Gurgaon (Gurugram),75000
Game Developer,Noida,73000
Game Developer,Mumbai,77000
Game Developer,Kolkata,70000
Game Developer,Ahmedabad,71000
Game Developer,Coimbatore,69000
Game Developer,Trivandrum (Thiruvananthapuram),72000
Game Developer,Jaipur,68000
Game Developer,Chandigarh,69000
Game Developer,Indore,70000
Game Developer,Kochi (Cochin),67000
Game Developer,Bhubaneswar,66000
Game Developer,Mysore,65000
Game Developer,Visakhapatnam,64000
Game Developer,Nagpur,63000
Game Developer,Lucknow,62000
