role,location,averageMarketSalary
Machine Learning Engineer,Bengaluru,88000
Machine Learning Engineer,Hyderabad,86000
Machine Learning Engineer,Pune,84000
Machine Learning Engineer,Chennai,83000
Machine Learning Engineer,Gurgaon (Gurugram),87000
Machine Learning Engineer,Noida,85000
Machine Learning Engineer,Mumbai,89000
Machine Learning Engineer,Kolkata,82000
Machine Learning Engineer,Ahmedabad,83000
Machine Learning Engineer,Coimbatore,81000
Machine Learning Engineer,Trivandrum (Thiruvananthapuram),84000
Machine Learning Engineer,Jaipur,80000
Machine Learning Engineer,Chandigarh,81000
Machine Learning Engineer,Indore,82000
Machine Learning Engineer,Kochi (Cochin),79000
Machine Learning Engineer,Bhubaneswar,78000
Machine Learning Engineer,Mysore,77000
Machine Learning Engineer,Visakhapatnam,76000
Machine Learning Engineer,Nagpur,75000
Machine Learning Engineer,Lucknow,74000
