role,location,averageMarketSalary
Network Engineer,Bengaluru,72000
Network Engineer,Hyderabad,70000
Network Engineer,Pune,68000
Network Engineer,Chennai,67000
Network Engineer,Gurgaon (Gurugram),71000
Network Engineer,Noida,69000
Network Engineer,Mumbai,73000
Network Engineer,Kolkata,66000
Network Engineer,Ahmedabad,67000
Network Engineer,Coimbatore,65000
Network Engineer,Trivandrum (Thiruvananthapuram),68000
Network Engineer,Jaipur,64000
Network Engineer,Chandigarh,65000
Network Engineer,Indore,66000
Network Engineer,Kochi (Cochin),63000
Network Engineer,Bhubaneswar,62000
Network Engineer,Mysore,61000
Network Engineer,Visakhapatnam,60000
Network Engineer,Nagpur,59000
Network Engineer,Lucknow,58000
