role,location,averageMarketSalary
QA Engineer,Bengaluru,70000
QA Engineer,Hyderabad,68000
QA Engineer,Pune,66000
QA Engineer,Chennai,65000
QA Engineer,Gurgaon (Gurugram),69000
QA Engineer,Noida,67000
QA Engineer,Mumbai,71000
QA Engineer,Kolkata,64000
QA Engineer,Ahmedabad,65000
QA Engineer,Coimbatore,63000
QA Engineer,Trivandrum (Thiruvananthapuram),66000
QA Engineer,Jaipur,62000
QA Engineer,Chandigarh,63000
QA Engineer,Indore,64000
QA Engineer,Kochi (Cochin),61000
QA Engineer,Bhubaneswar,60000
QA Engineer,Mysore,59000
QA Engineer,Visakhapatnam,58000
QA Engineer,Nagpur,57000
QA Engineer,Lucknow,56000
