role,location,averageMarketSalary
Security Engineer,Bengaluru,84000
Security Engineer,Hyderabad,82000
Security Engineer,Pune,80000
Security Engineer,Chennai,79000
Security Engineer,Gurgaon (Gurugram),83000
Security Engineer,Noida,81000
Security Engineer,Mumbai,85000
Security Engineer,Kolkata,78000
Security Engineer,Ahmedabad,79000
Security Engineer,Coimbatore,77000
Security Engineer,Trivandrum (Thiruvananthapuram),80000
Security Engineer,Jaipur,76000
Security Engineer,Chandigarh,77000
Security Engineer,Indore,78000
Security Engineer,Kochi (Cochin),75000
Security Engineer,Bhubaneswar,74000
Security Engineer,Mysore,73000
Security Engineer,Visakhapatnam,72000
Security Engineer,Nagpur,71000
Security Engineer,Lucknow,70000
