role,location,averageMarketSalary
Software Developer,Bengaluru,80000
Software Developer,Hyderabad,75000
Software Developer,Pune,70000
Software Developer,Chennai,72000
Software Developer,Gurgaon (Gurugram),78000
Software Developer,Noida,76000
Software Developer,Mumbai,82000
Software Developer,Kolkata,68000
Software Developer,Ahmedabad,69000
Software Developer,Coimbatore,65000
Software Developer,Trivandrum (Thiruvananthapuram),73000
Software Developer,Jaipur,64000
Software Developer,Chandigarh,66000
Software Developer,Indore,67000
Software Developer,Kochi (Cochin),63000
Software Developer,Bhubaneswar,62000
Software Developer,Mysore,61000
Software Developer,Visakhapatnam,60000
Software Developer,Nagpur,59000
Software Developer,Lucknow,58000
