role,location,averageMarketSalary
Site Reliability Engineer (SRE),Bengaluru,86000
Site Reliability Engineer (SRE),Hyderabad,84000
Site Reliability Engineer (SRE),Pune,82000
Site Reliability Engineer (SRE),Chennai,81000
Site Reliability Engineer (SRE),Gurgaon (Gurugram),85000
Site Reliability Engineer (SRE),Noida,83000
Site Reliability Engineer (SRE),Mumbai,87000
Site Reliability Engineer (SRE),Kolkata,80000
Site Reliability Engineer (SRE),Ahmedabad,81000
Site Reliability Engineer (SRE),Coimbatore,79000
Site Reliability Engineer (SRE),Trivandrum (Thiruvananthapuram),82000
Site Reliability Engineer (SRE),Jaipur,78000
Site Reliability Engineer (SRE),Chandigarh,79000
Site Reliability Engineer (SRE),Indore,80000
Site Reliability Engineer (SRE),Kochi (Cochin),77000
Site Reliability Engineer (SRE),Bhubaneswar,76000
Site Reliability Engineer (SRE),Mysore,75000
Site Reliability Engineer (SRE),Visakhapatnam,74000
Site Reliability Engineer (SRE),Nagpur,73000
Site Reliability Engineer (SRE),Lucknow,72000
